iter	Passed	Remaining
708	2614	1073
709	2617	1069
710	2620	1065
711	2622	1060
712	2626	1057
713	2629	1053
714	2632	1049
715	2635	1045
716	2637	1041
717	2642	1037
718	2645	1033
719	2647	1029
720	2650	1025
721	2653	1021
722	2658	1018
723	2661	1014
724	2664	1010
725	2667	1006
726	2671	1003
727	2674	999
728	2677	995
729	2680	991
730	2682	987
731	2685	983
732	2689	979
733	2691	975
734	2694	971
735	2697	967
736	2700	963
737	2705	960
738	2708	956
739	2710	952
740	2713	948
741	2716	944
742	2719	940
743	2722	936
744	2725	932
745	2727	928
746	2730	924
747	2733	920
748	2736	917
749	2739	913
750	2742	909
751	2745	905
752	2748	901
753	2751	897
754	2755	894
755	2757	890
756	2760	886
757	2763	882
758	2765	878
759	2769	874
760	2772	870
761	2776	867
762	2779	863
763	2782	859
764	2786	856
765	2789	852
766	2792	848
767	2795	844
768	2799	841
769	2803	837
770	2806	833
771	2808	829
772	2811	825
773	2815	822
774	2818	818
775	2821	814
776	2824	810
777	2826	806
778	2830	802
779	2834	799
780	2837	795
781	2840	791
782	2843	788
783	2847	784
784	2851	781
785	2854	777
786	2857	773
787	2860	769
788	2865	766
789	2868	762
790	2871	758
791	2874	754
792	2878	751
793	2881	747
794	2884	743
795	2886	739
796	2889	736
797	2893	732
798	2897	728
799	2900	725
800	2903	721
801	2906	717
802	2910	714
803	2913	710
804	2916	706
805	2918	702
806	2921	698
807	2925	695
808	2928	691
809	2931	687
810	2933	683
811	2936	679
812	2940	676
813	2944	672
814	2947	669
815	2950	665
816	2953	661
817	2958	658
818	2961	654
819	2963	650
820	2966	646
821	2970	643
822	2974	639
823	2976	635
824	2979	631
825	2982	628
826	2985	624
827	2989	620
828	2991	617
829	2994	613
830	2997	609
831	3000	605
832	3002	602
833	3005	598
834	3008	594
835	3011	590
836	3014	587
837	3017	583
838	3020	579
839	3023	575
840	3025	572
841	3029	568
842	3033	564
843	3039	561
844	3043	558
845	3047	554
846	3050	551
847	3054	547
848	3056	543
849	3059	539
850	3062	536
851	3064	532
852	3068	528
853	3071	525
854	3074	521
855	3076	517
856	3079	513
857	3082	510
858	3087	506
859	3089	502
860	3092	499
861	3095	495
862	3098	491
863	3101	488
864	3104	484
865	3106	480
866	3109	477
867	3112	473
868	3115	469
869	3119	466
870	3121	462
871	3124	458
872	3127	454
873	3131	451
874	3134	447
875	3136	444
876	3139	440
877	3142	436
878	3145	432
879	3149	429
880	3151	425
881	3154	421
882	3156	418
883	3159	414
884	3165	411
885	3167	407
886	3170	403
887	3172	400
888	3176	396
889	3180	393
890	3183	389
891	3185	385
892	3188	382
893	3192	378
894	3197	375
895	3199	371
896	3202	367
897	3205	364
898	3208	360
899	3212	356
900	3215	353
901	3220	349
902	3224	346
903	3228	342
904	3230	339
905	3233	335
906	3236	331
907	3239	328
908	3243	324
909	3246	321
910	3249	317
911	3252	313
912	3255	310
913	3259	306
914	3262	303
915	3264	299
916	3267	295
917	3270	292
918	3274	288
919	3278	285
920	3281	281
921	3284	277
922	3288	274
923	3292	270
924	3295	267
925	3298	263
926	3301	259
927	3304	256
928	3308	252
929	3312	249
930	3314	245
931	3317	242
932	3321	238
933	3324	234
934	3327	231
935	3330	227
936	3332	224
937	3338	220
938	3340	217
939	3343	213
940	3346	209
